Line;Chinese;Pinyin;Translation;NumberOfWords
1;他感冒了;ta1 gan3 mao4 le ;He caught a cold.;4
2;不用麻烦了;bu4 yong4 ma2 fan le ;Don't bother.;5
3;很好,谢谢;hen3 hao3 xie4 xie ;Fine, thanks.;5
4;我这就上路;wo3 zhe4 jiu4 shang4 lu4 ;I'm on my way.;5
5;让我想一想;rang4 wo3 xiang3 yi1 xiang3 ;Let me see.;5
6;不是我的错;bu2 shi4 wo3 de cuo4 ;It's not my fault.;5
7;都是我的错;dou1 shi4 wo3 de cuo4 ;It's all my fault.;5
8;你干得很好;ni3 gan4 de hen3 hao4 ;You did a good job.;5
9;我每晚洗澡;wo3 mei3 wan3 xi3 zao3! ;I bath every night.;5
10;他年近四十;ta1 nian2 jin4 si4 shi2 ;He is near forty.;5
11;这需要时间;zhe4 xu1 yao4 shi2 jian1 ;It takes time.;5
12;我不太清楚;wo3 bu4 tai4 qing1 chu ;I'm not really sure.;5
13;电话响了;dian4 hua4 xiang3 le ;The telephone is ringing.;4
14;我怎么知道;wo3 zen3 me zhi1 dao4 ;How should I know.;5
15;母牛流产了;mu3 niu2 liu2 chan3 le ;The cow cast her calf.;5
16;它不是手表;ta1 bu2 shi4 shou3 biao3 ;It is not a watch.;5
17;请把门打开;qing3 ba3 men2 da3 kai1 ;Open the door, please.;5
18;谢谢您,先生;xie4 xie nin2 xian1 sheng ;Thank you, sir.;6
19;你会习惯的;ni3 kuai4 xi2 guan4 de ;You'll get used to it.;5
20;啤酒走了气了;pi2 jiu3 zou3 le qi4 le ;The beer is stale.;6
21;我马上就来;wo3 ma3 shang4 jiu4 lai2 ;I'll be right with you.;5
22;把这本书给她;ba3 zhe4 ben3 shu1 ji3 ta1 ;Give her the book.;6
23;他唱最高音部;ta1 chang4 zui4 gao1 yin1 bu4 ;He sings treble.;6
24;也许下一次吧;ye3 xu3 xia4 yi1 ci4 ba ;Maybe some other time.;6
25;他正在开会;ta1 zheng4 zai4 kai1 hui4 ;He is in conference.;5
26;好久不见了;hao3 jiu3 bu4 jian4 le ;Haven't seen you for ages.;5
27;请再说一遍;qing3 zai4 shuo1 yi1 bian4 ;Say that again, please.;5
28;一切都会好的;yi1 qie4 du1 hui4 hao3 de ;Everything will be OK.;6
29;他喜欢吹牛;ta1 xi3 huan chui1 niu2 ;He likes to throw the bull.;5
30;她穿上袜子;ta1 chuan1 shang4 wa4 zi ;She draws on her socks.;5
31;我有许多唱片;wo3 you3 xu3 duo1 chang4 pian4 ;I have many discs.;6
32;日子不好过啊;ri4 zi bu4 hao3 guo4 a ;Pretty tough day to day.;6
33;我的钢笔是新的;wo3 de gang1 bi3 shi4 xin1 de ;My pen is new.;7
34;他不喜欢吃鱼;ta1 bu4 xi3 huan ji2 yu2 ;He doesn't care for fish.;6
35;很高兴认识你;hen3 gao1 xing4 ren4 shi ni3 ;It's nice meeting you.;6
36;这对我太合适了;zhe4 dui4 wo3 tai4 he2 shi4 le ;Suits me fine.;7
37;是的,当然可以;shi4 de dang1 ran2 ke3 yi3 ;Yes, certainly.;7
38;我坐在他旁边;wo3 zuo4 zai4 ta1 pang2 bian1 ;I sat by his side.;6
39;他在她的旁边;ta1 zai4 ta1 de pang2 bian1 ;He is being side her.;6
40;请把菜单给我;qing3 ba3 cai4 dan1 ji3 wo3 ;Please show me the menu.;6
41;他刚请假走了;ta1 gang1 qing3 jia4 zou3 le! ;He's just gone on leave.;6
42;我的电话坏了;wo3 de dian4 hua4 huai4 le ;My phone was out of order.;6
43;你的眼力不错;ni3 de yan3 li4 bu4 cuo4 ;You've made a good choice.;6
44;六除以二得三;liu4 chu2 yi3 er4 de san1 ;Six divided by two is three.;6
45;我正要找你;wo3 zheng4 yao4 zhao3 ni3 ;Just the man I was looking for.;5
46;我确实得走了;wo3 que4 shi2 de zou3 le ;I really have to be going.;6
47;他跳上了桌子;ta1 tiao4 shang4 le zhuo1 zi ;He jumped onto the table.;6
48;出现了新困难;chu1 xian4 le xin1 kun4 nan! ;A new difficulty has arisen.;6
49;昨晚是满月;zuo2 wan3 shi4 man3 yue4 ;Last night there was a full moon.;5
50;他的帽子没戴正;ta1 de mao4 zi mo4 dai4 zheng4! ;His hat isn't on straight.;7
51;他也学习汉语;ta1 ye3 xue2 xi2 Han4 yu3 ;He studies Chinese as well.;6
52;祝你下一次好运;zhu4 ni3 xia4 yi1 ci4 hao3 yun4 ;Better luck next time.;7
