Line;Chinese;Pinyin;Translation;NumberOfWords
1;我爱你;wo3 ai4 ni3;I love you;3
2;电话响了;Diànhuà xiǎngle;The telephone is ringing.;4
3;他感冒了;tā gǎn màole;He caught a cold.;5
4;不用麻烦了;bù yòng má fanle;Don't bother.;5
5;很好,谢谢;hěn hǎo, xièxiè;Fine, thanks.;5
6;我这就上路;wǒ zhè jiù shàng lù;I'm on my way.;5
7;让我想一想;ràng wǒ xiǎng yī xiǎng;Let me see.;5
8;不是我的错;bùshì wǒ de cuò;It's not my fault.;5
9;都是我的错;dōu shì wǒ de cuò;It's all my fault.;5
10;你干得很好;nǐ gàn dé hěn hǎo;You did a good job.;5
11;我每晚洗澡;wǒ měi wǎn xǐzǎo;I bath every night.;5
12;他年近四十;tā nián jìn sìshí;He is near forty.;5
13;这需要时间;zhè xūyào shí jiān;It takes time.;5
14;我不太清楚;wǒ bù tài qīngchǔ;I'm not really sure.;5
15;我怎么知道;wǒ zěnme zhīdào;How should I know.;5
16;母牛流产了;mǔ niú liúchǎnle;The cow cast her calf.;5
17;它不是手表;tā bùshì shǒubiǎo;It is not a watch.;5
18;请把门打开;qǐng bǎmén dǎkāi;Open the door, please.;5
19;你会习惯的;nǐ huì xíguàn de;You'll get used to it.;5
20;我马上就来;wǒ mǎshàng jiù lái;I'll be right with you.;5
21;他正在开会;tā zhèngzài kāihuì;He is in conference.;5
22;好久不见了;hǎojiǔ bùjiànle;Haven't seen you for ages.;5
23;请再说一遍;qǐng zàishuō yībiàn;Say that again, please.;5
24;他喜欢吹牛;tā xǐhuān chuīniú;He likes to throw the bull.;5
25;她穿上袜子;tā chuān shàng wàzi;She draws on her socks.;5
26;我正要找你;wǒ zhèng yào zhǎo nǐ;Just the man I was looking for.;5
27;昨晚是满月;zuó wǎn shì mǎnyuè;Last night there was a full moon.;5
28;别让我失望;bié ràng wǒ shīwàng;Don't let me down.;5
29;这杯子碎了;zhè bēizi suìle;The glass shattered.;5
30;他心地善良;tā xīndì shànliáng;He has a kind heart.;5
31;请别打扰我;qǐng bié dǎrǎo wǒ;Please leave me alone.;5
32;她恳求原谅;tā kěnqiú yuánliàng;She supplicated for pardon.;5
33;雪深两英尺;xuě shēn liǎng yīngchǐ;The snow is two feet in depth.;5
34;下课铃响了;xiàkè líng xiǎngle;There's the bell for the end of the lesson.;5
35;我浑身疼痛;wǒ húnshēn téngtòng;I ache all over.;5
36;不要嘲笑他;bùyào cháoxiào tā;Don't laugh at him.;5
37;摆锤能摆动;bǎi chuí néng bǎidòng;A pendulum oscillates.;5
38;满月呈圆形;mǎnyuè chéng yuán xíng;The full moon has a circular form.;5
39;你疯了吗？;nǐ fēngle ma?;Are you insane?;5
40;他遍体鳞伤;Tā biàntǐlínshāng;He was black and blue all over.;5
41;这门闩不牢;zhè ménshuān bù láo;This door won't latch properly.;5
42;谢谢您,先生;xièxiè nín, xiānshēng;Thank you, sir.;6
43;啤酒走了气了;píjiǔ zǒuliǎo qìle;The beer is stale.;6
44;把这本书给她;bǎ zhè běn shū gěi tā;Give her the book.;6
45;他唱最高音部;tā chàng zuìgāo yīn bù;He sings treble.;6
46;也许下一次吧;yěxǔ xià yīcì ba;Maybe some other time.;6
47;一切都会好的;yīqiè dūhuì hǎo de;Everything will be OK.;6
48;我有许多唱片;wǒ yǒu xǔduō chàngpiàn;I have many discs.;6
49;日子不好过啊;rìzi bù hǎoguò a;Pretty tough day to day.;6
50;他不喜欢吃鱼;tā bù xǐhuān chī yú;He doesn't care for fish.;6
51;很高兴认识你;hěn gāoxìng rènshí nǐ;It's nice meeting you.;6
52;我坐在他旁边;wǒ zuò zài tā pángbiān;I sat by his side.;6
53;他在她的旁边;tā zài tā de pángbiān;He is being side her.;6
54;请把菜单给我;qǐng bǎ càidān gěi wǒ;Please show me the menu.;6
55;他刚请假走了;tā gāng qǐngjià zǒuliǎo;He's just gone on leave.;6
56;我的电话坏了;wǒ de diànhuà huàile;My phone was out of order.;6
57;你的眼力不错;nǐ de yǎnlì bùcuò;You've made a good choice.;6
58;六除以二得三;liù chú yǐ èr dé sān;Six divided by two is three.;6
59;我确实得走了;wǒ quèshí dé zǒuliǎo;I really have to be going.;6
60;他跳上了桌子;tā tiào shàngle zhuōzi;He jumped onto the table.;6
61;出现了新困难;chūxiànle xīn kùnnán;A new difficulty has arisen.;6
62;他也学习汉语;tā yě xuéxí hànyǔ;He studies Chinese as well.;6
63;他比我大两岁;tā bǐ wǒ dà liǎng suì;He is my senior by two years.;6
64;这对我正合适;zhè duì wǒ zhèng héshì;That suits me all right.;6
65;这方便得多了;zhè fāngbiàn dé duōle;It's much more convenient.;6
66;下周学校复课;xià zhōu xuéxiào fùkè;School reopens next week.;6
67;我看你不应该;wǒ kàn nǐ bù yìng gāi;I don't think you ought to.;6
68;祝你生日快乐;zhù nǐ shēngrì kuàilè;I wish you a happy birthday.;6
69;你得等一等看;nǐ dé děng yī děng kàn;You will have to wait and see.;6
70;你过来试试看;nǐ guòlái shì shìkàn;Come on over to have a try.;6
71;他紧握她的手;tā jǐn wò tā de shǒu;He held her hand in a firm clasp.;6
72;布已经打成包;bù yǐjīng dǎ chéng bāo;The cloth was packed in bales.;6
73;向你全家问好;xiàng nǐ quánjiā wènhǎo;Remember me to your family.;6
74;这是常有的事;zhè shì cháng yǒu de shì;These things happen all the time.;6
75;大家别同时说;dàjiā bié tóngshí shuō;Don't all speak at the same time.;6
76;我很想吃饺子;wǒ hěn xiǎng chī jiǎozi;I feel like having some dumplings.;6
77;我明天晚上来;wǒ míngtiān wǎnshàng lái;I'll come round tomorrow evening.;6
78;我非常感谢您;wǒ fēicháng gǎnxiè nín;I'm extremely grateful to you.;6
79;好像要下雨了;hǎoxiàng yào xià yǔle;It looks as if it is going to rain.;6
80;她一直想成名;tā yīzhí xiǎng chéngmíng;She has always been desirous of fame.;6
81;那匹马踢了我;nà pǐ mǎ tīle wǒ;That horse kicked me.;6
82;你看上去心虚;nǐ kàn shàngqù xīnxū;You look guilty.;6
83;他昨天到达的;tā zuótiān dàodá de;He arrived yesterday.;6
84;这梯子有八级;zhè tīzi yǒu bā jí;The ladder has eight rungs.;6
85;我的记性很差;wǒ de jìxìng hěn chà;I have a very poor memory.;6
86;金钱不是一切;jīnqián bùshì yīqiè;Money isn't everything.;6
87;云层正在堆积;yúncéng zhèngzài duījī;Clouds are banking up.;6
88;人们叫她泼妇;rénmen jiào tā pōfù;People called her shrew.;6
89;她和他订婚了;tā hé tā dìnghūnle;She plighted herself to him.;6
90;他有一双套鞋;tā yǒu yīshuāng tàoxié;He has a pair of overshoes.;6
91;祝你旅途愉快;zhù nǐ lǚtú yúkuài;I wish you a pleasant trip.;6
92;棉花容易着火;miánhuā róngyì zháohuǒ;Cotton catches fire easily.;6
93;祝您旅途愉快;zhù nín lǚtú yúkuài;I wish you a pleasant journey.;6
94;灰狗跑得很快;huī gǒu pǎo dé hěn kuài;Greyhound can run very fast.;6
95;他计划去南美;tā jìhuà qù nánměi;He purposed to visit South America.;6
96;我想存点儿钱;wǒ xiǎng cún diǎn er qián;I'd like to deposit some money.;6
97;演出极为成功;yǎnchū jíwéi chénggōng;The performance was immense.;6
98;窗户碎成碎片;chuānghù suì chéng suìpiàn;The window broke into pieces.;6
99;吸烟有害健康;xīyān yǒuhài jiànkāng;Smoking is bad for the health.;6
100;他去年入党了;tā qù nián rùdǎngle;He was admitted to the Party last year.;6
101;请把电源关掉;qǐng bǎ diànyuán guān diào;Please turn off the electric power.;6
102;她在约克上学;tā zài yuēkè shàngxué;She went to school/university/college in York.;6
103;警察负责执法;jǐngchá fùzé zhífǎ;The police are responsible for the enforcement of the law.;6
104;饥饿引起犯罪;jī'è yǐnqǐ fànzuì;Hunger begets crime.;6
105;车子毁了一半;chēzi huǐle yībàn;Half the car was damaged.;6
106;黑天鹅很稀有;hēi tiān'é hěn xīyǒu;A black swan is rare.;6
107;不要践踏草地;bùyào jiàntà cǎodì;Don't trample on the grass.;6
108;他在雪中漫步;tā zài xuě zhōng mànbù;He is walking amidst the snow.;6
109;我们忠于祖国;wǒmen zhōngyú zǔguó;We are loyal to our motherland.;6
110;瓶上标明有毒;píng shàng biāomíng yǒudú;The bottle is labeled poison.;6
111;人生幸福易逝;rénshēng xìngfú yì shì;Human happiness is so fragile.;6
112;爱情不分贫富;àiqíng bù fēn pín fù;Love lives in cottages as well as in courts.;6
113;外面在下冰雹;wàimiàn zàixià bīngbáo;It's hailing outside.;6
114;他有音乐天赋;tā yǒu yīnyuè tiānfù;He has a gift for music.;6
115;猪是一种家畜;zhū shì yī zhǒng jiāchù;A pig is a domestic animal.;6
116;请不要嘲笑他;qǐng bùyào cháoxiào tā;Please don't laugh at him.;6
117;城堡的墙很厚;chéngbǎo de qiáng hěn hòu;The castle walls are very thick.;6
118;你住在哪儿？;nǐ zhù zài nǎ'er?;Where do you live?;6
119;多好的主意！;Duō hǎo de zhǔyì!;What a swell idea!;6
120;你太过分了！;Nǐ tài guòfènle!;You've gone too far!;6
121;你想喝茶吗?;Nǐ xiǎng hē chá ma?;Would you like a cup of tea?;6
122;那儿怎么样？;Nà'er zěnme yàng?;What is it like there?;6
123;这里谁负责？;Zhèlǐ shuí fùzé?;Who is in charge here?;6
124;那个掸子很脏;Nàgè dǎnzi hěn zàng;That duster is very dirty.;6
125;你选哪本书？;nǐ xuǎn nǎ běn shū?;Which one of the books is your pick?;6
126;鱼通过鳃呼吸;Yú tōngguò sāi hūxī;A fish breathes through its gills.;6
127;春天嫩芽初绽;chūntiān nèn yá chū zhàn;The new buds appear in the spring.;6
128;我的钢笔是新的;wo3 de gang1 bi3 shi4 xin1 de ;My pen is new.;7
129;这对我太合适了;zhe4 dui4 wo3 tai4 he2 shi4 le ;Suits me fine.;7
130;是的,当然可以;shi4 de dang1 ran2 ke3 yi3 ;Yes, certainly.;7
131;他的帽子没戴正;ta1 de mao4 zi mo4 dai4 zheng4! ;His hat isn't on straight.;7
132;祝你下一次好运;zhu4 ni3 xia4 yi1 ci4 hao3 yun4 ;Better luck next time.;7
133;我每天早上刮脸;wo3 mei3 tian1 zao3 shang gua1 lian3! ;I shave every morning.;7
134;我把袜子穿破了;wo3 ba3 wa4 zi chuan1 po4 le! ;I've worn holes in my socks.;7
135;现在五点差一刻;xian4 zai4 wu3 dian3 ci1 yi1 ke4 ;It is a quarter to five.;7
136;迟到总比不到好;chi2 dao4 zong3 bi4 bu4 dao4 hao4 ;Better late than never.;7
137;我知道那种感觉;wo3 zhi1 dao4 na4 zhong4 gan3 jue2 ;I know the feeling.;7
138;她有着细长的腿;ta1 you3 zhe xi4 chang2 de tui3 ;She has long thin shanks.;7
139;农作物需要雨水;nong2 zuo4 wu4 xu1 yao4 yu3 shui3 ;The crops need rain.;7
140;你只是说说而已;ni3 zhi3 shi4 shuo1 shuo1 er2 yi3 ;You are just saying that.;7
141;有了它真是方便;you3 le ta1 zhen1 shi4 fang1 bian4 ;It really comes in handy.;7
142;他发烧满脸通红;ta1 fa1 shao1 man3 lian3 tong1 hong2! ;Fever flushed his cheeks.;7
143;我在街上遇到他;wo3 zai4 jie1 shang4 yu4 dao4 ta1 ;I met him in the street.;7
144;你应该去看医生;ni3 ying1 gai1 qu4 kan4 yi1 sheng1 ;You should see a doctor.;7
145;这星期他会很忙;zhe4 xing1 qi1 ta1 kuai4 hen3 mang2 ;He is very busy this week.;7
146;我的数学不太好;wo3 de shu4 xue2 bu4 tai4 hao4 ;I am not good at mathematics.;7
147;那部影片很叫座;na4 bu4 ying3 pian4 hen3 jiao4 zuo4 ;That film was a great draw.;7
148;我的表慢五分钟;wo3 de biao3 man4 wu3 fen1 zhong1 ;My watch is five minutes slow.;7
149;我教她骑自行车;wo3 jiao4 ta1 qi2 zi4 xing2 che1 ;I taught her to ride a bicycle.;7
150;这只是时间问题;zhe4 zhi3 shi4 shi2 jian1 wen4 ti2 ;It's only a matter of time.;7
151;这孩子身上发烧;zhe4 hai2 zi shen1 shang4 fa1 shao1! ;The child's body felt feverish.;7
152;外边冷，多穿些衣服;wai4 bian leng3, duo1 chuan1 xie1 yi1fu;It's cold outside, put more clothes.;9
153;她是工业设计师;ta1 shi4 gong1 ye4 she4 ji4 shi1 ;She is an industrial designer.;7
154;我们确信能胜利;wo3 men que4 xin4 neng2 sheng4 li4 ;We are confident of victory.;7
155;她总穿着黑衣服;ta1 zong3 chuan1 zhuo2 hei1 yi1 fu ;She always dresses in black.;7
156;我将等到四点钟;wo3 jiang4 deng3 dao4 si4 dian3 zhong1 ;I'll wait till four o'clock.;7
157;你把帽子戴反了;ni3 ba3 mao4 zi dai4 fan3 le ;You have put your hat on backwards.;7
158;她喜欢各种运动;ta1 xi3 huan ge4 zhong3 yun4 dong4 ;She likes all kinds of sports.;7
159;马在路上小跑着;ma3 zai4 lu4 shang xiao3 pao3 zhuo2 ;The horse trotted down the road.;7
160;我看到他就高兴;wo3 kan4 dao4 ta1 jiu4 gao1 xing4 ;I never see him but I am happy.;7
161;他有早起的习惯;ta1 you3 zao3 qi3 de xi2 guan4 ;He is in the habit of rising early.;7
162;认识从实践开始;ren4 shi zong4 shi2 jian4 kai1 shi3 ;Knowledge begin with practice.;7
163;老人快步走开了;lao3 ren2 kuai4 bu4 zou3 kai1 le ;The old man set off at a quick trot.;7
164;只剩下一听肉了;zhi3 sheng4 xia4 yi1 ting4 rou4 le ;There is only one can of meat left.;7
165;医生一会儿就到;yi1 sheng1 yi1 huir4 jiu4 dao4 ;The doctor will be here presently.;7
166;我的日语相当差;wo3 de ri4 yu3 xiang1 dang1 ci1 ;My knowledge of Japanese is rather poor.;7
167;从前有一个公主;cong2 qian2 you3 yi1 ge4 gong1 zhu3! ;Once upon a time there was a princess.;7
168;我只想说对不起;wo3 zhi3 xiang3 shuo1 dui4 bu4 qi3 ;I want to say nothing but sorry.;7
169;教堂在学校附近;jiao4 tang2 zai4 xue2 xiao4 fu4 jin4 ;The church is close to the school.;7
170;她正找电灯开关;ta1 zheng4 zhao3 dian4 deng1 kai1 guan1 ;She is fumbling the light switch.;7
171;我深爱我的祖国;wo3 shen1 ai4 wo3 de zu3 guo2 ;I love my country with every fiber of my being.;7
172;这二人一见钟情;zhe4 er4 ren2 yi1 xian4 zhong1 qing2 ;The two fell in love with each other at the first sight.;7
173;他的梦想实现了;ta1 de meng4 xiang3 shi2 xian4 le ;His dream came true.;7
174;我开始执行计划;wo3 kai1 shi3 zhi2 xing2 ji4 hua4 ;I set a project afoot.;7
175;我编了一个花环;wo3 bian1 le yi1 ge4 hua1 huan2 ;I wove a garland of flowers.;7
176;金钱买不来幸福;jin1 qian2 mai3 bu4 lai2 xing4 fu2 ;Money can't buy happiness.;7
177;我们都帮忙收割;wo3 men dou1 bang1 mang2 shou1 ge1 ;We all helped the harvest.;7
178;她从梯子上下来;ta1 zong4 ti1 zi shang4 xia4 lai2! ;She got down from the ladder.;7
179;握手时软弱无力;wo4 shou3 shi2 ruan3 ruo4 wu2 li4 ;Has limp, weak handshake.;7
180;我的鞋底都断了;wo3 de xie2 di3 dou1 duan4 le ;The soles of my shoes are broken.;7
181;这孩子冷得发抖;zhe4 hai2 zi leng3 de fa1 dou3 ;The child shivered from the cold.;7
182;他似乎不愿离去;ta1 si4 hu bu4 yuan4 li2 qu4 ;He seemed somewhat loath to depart.;7
183;请把字典递给我;qing3 ba3 zi4 dian3 di4 ji3 wo3 ;Please pass the dictionary to me.;7
184;这房子又冷又湿;zhe4 fang2 zi you4 leng3 you4 shi1 ;The building was cold and damp.;7
185;学英文是值得的;xue2 Ying1 wen2 shi4 zhi2 de de ;It is worth while to learn English.;7
186;吸烟对健康有害;xi1 yan1 dui4 jian4 kang1 you3 hai4 ;Smoking is injurious to health.;7
187;这些话毫无意义;zhe4 xie hua4 hao2 wu2 yi4 yi4 ;These words are empty of meaning.;7
188;他正沿海边走去;ta1 zheng4 yan2 hai3 bian1 zou3 qu4 ;He is walking down the seaside.;7
189;他们用卡车运煤;ta1 men yong4 ka3 che1 yun4 mei2 ;They use a lorry to carry coals.;7
190;疼痛越来越剧烈;teng2 tong4 yue4 lai2 Yue4 ju4 lie4 ;The pain increased in intensity.;7
191;那种声音很刺耳;na4 zhong4 sheng1 yin1 hen3 ci4 er3 ;The sound was very discordant.;7
192;他划船渡过湖面;ta1 hua4 chuan2 du4 guo4 hu2 mian4 ;He rowed the boat across the lake.;7
